Category,Item,Supplier,Quantity,Unit,Unit Price (USD),Line Total (USD),Notes,Source
Drywall,5/8 in. x 4 ft. x 8 ft. Type X gypsum board,Lowe's (Public),140,sheets,19.98,2797.2,Type X per owner request. Existing material scope retained; verify current supplier pricing before formal issue.,https://www.lowes.com/pd/Gold-Bond-Brand-1-2-in-x-4-ft-x-8-ft-Drywall/5200101
Ceiling,2 ft. x 4 ft. acoustic ceiling tiles (64 sq ft/case),Home Depot (Public),11,cases,59.88,658.68,Basic 2x4 mineral fiber tile. Existing material scope retained; verify current supplier pricing before formal issue.,https://www.homedepot.com/b/Ceiling-Tiles/N-5yc1vZc5kq
Ceiling,Main tee 12 ft (ceil grid),American Builder Supply (pricing ref),19,pieces,15.54,295.26,"Pricing referenced from public supplier, verify ABS. Existing material scope retained; verify current supplier pricing before formal issue.",https://cardinalwarehouseinc.com/products/armstrong-7300xl-main-tee-12
Ceiling,Cross tee 4 ft,American Builder Supply (pricing ref),52,pieces,4.78,248.56,"Pricing referenced from public supplier, verify ABS. Existing material scope retained; verify current supplier pricing before formal issue.",https://cardinalwarehouseinc.com/products/armstrong-7300xl-4ft-cross-tee
Ceiling,Cross tee 2 ft (case of 60),American Builder Supply (pricing ref),1,cases,141.0,141.0,"Case pricing, verify ABS. Existing material scope retained; verify current supplier pricing before formal issue.",https://hdsupplysolutions.com/p/hg-grid-2ft-white-intermediate-tees-box-of-60-p243158
Ceiling,Wall angle 12 ft,American Builder Supply (pricing ref),13,pieces,10.25,133.25,"Pricing referenced from public supplier, verify ABS. Existing material scope retained; verify current supplier pricing before formal issue.",https://aorweb.com/product/armstrong-m7/
Ceiling,12-gauge hanger wire 12 ft,American Builder Supply (pricing ref),64,pieces,2.2,140.8,"Pricing referenced from public supplier, verify ABS. Existing material scope retained; verify current supplier pricing before formal issue.",https://turkstralumber.com/products/12-gauge-hanger-wire-12-ft
Drywall Finishing,"All-purpose joint compound, 4.5 gal",Walmart Business (Public),9,buckets,74.99,674.91,Ready-mix. Existing material scope retained; verify current supplier pricing before formal issue.,https://business.walmart.com/ip/USG-SHEETROCK-Brand-All-Purpose-Joint-Compound-4-5-Gal-Blue-Cap/1171831039
Drywall Finishing,"Paper joint tape 2"" x 500 ft",Home Depot (Public),4,rolls,15.48,61.92,Standard paper tape. Existing material scope retained; verify current supplier pricing before formal issue.,https://www.homedepot.com/p/USG-Sheetrock-Brand-2-1-16-in-x-500-ft-Paper-Drywall-Joint-Tape-382175/100321608
Drywall Finishing,10 ft metal corner bead,Lenco Supplies (Public),15,pieces,3.19,47.85,Outside corners allowance. Existing material scope retained; verify current supplier pricing before formal issue.,https://lencosupplies.com/products/ammow-wall-corner-bead-10ft-metal-1-1-4-expansion
Drywall Finishing,1-5/8 in. drywall screws (5 lb),Ace Hardware (Public),5,boxes,27.99,139.95,"Fine thread, 5/8 Type X. Existing material scope retained; verify current supplier pricing before formal issue.",https://www.acehardware.com/departments/hardware/screws-and-anchors/sheet-metal-screws/5356130
Baseboard,4 in. vinyl cove base (120 ft/case),Home Depot (Public),4,cases,85.57,342.28,"Standard base, neutral color. Existing material scope retained; verify current supplier pricing before formal issue.",https://www.homedepot.com/p/ROPPE-4-in-x-120-ft-Black-Premier-Rubber-Wall-Base-Cove-Base-Coil-HB-40P-110/100180026
Baseboard,Wall base adhesive (1 gal),Tools4Flooring (Public),1,gallons,32.99,32.99,Approx 500 LF per gallon. Existing material scope retained; verify current supplier pricing before formal issue.,https://www.tools4flooring.com/ntb-f-66-wall-base-adhesive-1-gallon.html
Paint,"Interior paint, 5 gal, eggshell",Home Depot (Public),5,buckets,158.0,790.0,"Walls, two coats, neutral tone. Existing material scope retained; verify current supplier pricing before formal issue.",https://www.homedepot.com/p/BEHR-PREMIUM-PLUS-5-gal-ULTRA-PURE-WHITE-EGGshell-Enamel-Low-Odor-Interior-Paint-Primer-105005/100144907
Paint,"Interior primer, 5 gal",Home Depot (Public),3,buckets,158.0,474.0,Prime new drywall. Existing material scope retained; verify current supplier pricing before formal issue.,https://www.homedepot.com/p/BEHR-PREMIUM-PLUS-5-gal-ULTRA-PURE-WHITE-EGGshell-Enamel-Low-Odor-Interior-Paint-Primer-105005/100144907
Equipment,Self-leveling cross-line laser (40 ft),Home Depot (Public),1,each,119.0,119.0,Ceiling grid installation. Existing material scope retained; verify current supplier pricing before formal issue.,https://www.homedepot.com/p/DEWALT-40-ft-Red-Self-Leveling-Cross-Line-Laser-Level-DW088K/203141212
Protection,Zip wall dust barrier kit,Home Depot (Public),2,kits,52.98,105.96,Sliding plastic doorway openings. Existing material scope retained; verify current supplier pricing before formal issue.,https://www.homedepot.com/p/ZipWall-Barrier-Wrap-10-ft-x-100-ft-Dust-Barrier-Wrap-2-Pack-ZPBW12/207197034
Waste,Construction dumpster allowance,Big River Disposal (allowance),1,allowance,450.0,450.0,Provisional allowance for debris haul-off and dump handling; confirm vendor quote before issue. Existing material scope retained; verify current supplier pricing before formal issue.,Vendor quote required
